method halo_num Rvir[kpc] Mvir[Msol] Mgas[Msol] Mstar[Msol] Mcgmgas[Msol] Mcgmgas/Mgas
pynbody 1 273.5 9.55e+11 1.07e+11 4.96e+10 9.24e+10 0.8670
amiga.stat 1 278.4 9.94e+11 1.08e+11 4.97e+10 1.78e+11 1.6532
